Date : 2025-07-25 09:19:50
Directory : c:\MAIN FLUTTER\stockall
Total : 350 files,  582601 codes, 4551 comments, 13340 blanks, all 600492 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\MAIN FLUTTER\stockall\build\web\assets\FontManifest.json                                                                        | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\cart_loader.json                                                       | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\check_animation.json                                                   | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\main_loader.json                                                       | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\phone_verify.json                                                      | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\profit.json                                                            | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_1.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_2.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\search_3.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\shop_setup_icon.json                                                   | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\welcome.json                                                           | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\welcome_robot.json                                                     | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\add_icon.svg                                                                 | XML                     |          4 |          0 |          1 |          5 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\check_icon.svg                                                               | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\cust_book_icon.svg                                                           | XML                     |          5 |          0 |          1 |          6 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\customers_icon.svg                                                           | XML                     |         24 |          0 |          1 |         25 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\delete_icon.svg                                                              | XML                     |          3 |          0 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\edit_icon.svg                                                                | XML                     |          4 |          0 |          1 |          5 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\employees_icon.svg                                                           | XML                     |         11 |          0 |          1 |         12 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\expenses_icon.svg                                                            | XML                     |         19 |          0 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\make_sales_button.svg                                                        | XML                     |         15 |          0 |          1 |         16 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\naira_icon.svg                                                               | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\notif_icon.svg                                                               | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\plus_icon.svg                                                                | XML                     |         12 |          1 |          0 |         13 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\product_icon.svg                                                             | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\pulse_icon.svg                                                               | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\receipt_icon.svg                                                             | XML                     |         19 |          0 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\report_icon.svg                                                              | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\sales_icon.svg                                                               | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\whatsapp_logo_icon.svg                                                       | XML                     |         19 |          1 |          0 |         20 |
| c:\MAIN FLUTTER\stockall\build\web\assets\packages\esc_pos_utils_plus\resources\capabilities.json                                  | JSON                    |      2,119 |          0 |          0 |      2,119 |
| c:\MAIN FLUTTER\stockall\build\web\assets\shaders\ink_sparkle.frag                                                                 | GLSL                    |        126 |          0 |          0 |        126 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\canvaskit.js                                                                          | JavaScript              |        187 |          0 |          6 |        193 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\canvaskit.wasm                                                                        | WebAssembly Text Format |    128,362 |          0 |      3,990 |    132,352 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\chromium\canvaskit.js                                                                 | JavaScript              |        187 |          0 |          6 |        193 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\chromium\canvaskit.wasm                                                               | WebAssembly Text Format |    106,734 |          0 |      2,906 |    109,640 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm.js                                                                             | JavaScript              |        152 |          1 |          6 |        159 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm.wasm                                                                           | WebAssembly Text Format |     55,865 |          0 |      1,675 |     57,540 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm_st.js                                                                          | JavaScript              |        129 |          0 |          6 |        135 |
| c:\MAIN FLUTTER\stockall\build\web\canvaskit\skwasm_st.wasm                                                                        | WebAssembly Text Format |     55,304 |          0 |      1,678 |     56,982 |
| c:\MAIN FLUTTER\stockall\build\web\flutter.js                                                                                      | JavaScript              |          3 |          1 |          1 |          5 |
| c:\MAIN FLUTTER\stockall\build\web\flutter_bootstrap.js                                                                            | JavaScript              |         12 |          1 |          4 |         17 |
| c:\MAIN FLUTTER\stockall\build\web\flutter_service_worker.js                                                                       | JavaScript              |        487 |         31 |          3 |        521 |
| c:\MAIN FLUTTER\stockall\build\web\index.html                                                                                      | HTML                    |         89 |         17 |         30 |        136 |
| c:\MAIN FLUTTER\stockall\build\web\main.dart.js                                                                                    | JavaScript              |    167,184 |          0 |          1 |    167,185 |
| c:\MAIN FLUTTER\stockall\build\web\manifest.json                                                                                   | JSON                    |         35 |          0 |          1 |         36 |
| c:\MAIN FLUTTER\stockall\build\web\version.json                                                                                    | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\devtools_options.yaml                                                                                     | YAML                    |          3 |          0 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\ios\RunnerTests\RunnerTests.swift                                                                         | Swift                   |          7 |          2 |          4 |         13 |
| c:\MAIN FLUTTER\stockall\ios\Runner\AppDelegate.swift                                                                              | Swift                   |         12 |          0 |          2 |         14 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                               | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json                                        | JSON                    |         21 |          0 |          1 |         22 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                             | JSON                    |         23 |          0 |          1 |         24 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                                 | Markdown                |          3 |          0 |          2 |          5 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                             | XML                     |         43 |          1 |          1 |         45 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Base.lproj\Main.storyboard                                                                     | XML                     |         25 |          1 |          1 |         27 |
| c:\MAIN FLUTTER\stockall\ios\Runner\Runner-Bridging-Header.h                                                                       | C++                     |          1 |          0 |          1 |          2 |
| c:\MAIN FLUTTER\stockall\lib\classes\currency_class.dart                                                                           | Dart                    |         10 |          0 |          2 |         12 |
| c:\MAIN FLUTTER\stockall\lib\classes\product_quantity_summary.dart                                                                 | Dart                    |         10 |          0 |          2 |         12 |
| c:\MAIN FLUTTER\stockall\lib\classes\product_report_summary.dart                                                                   | Dart                    |         14 |          0 |          2 |         16 |
| c:\MAIN FLUTTER\stockall\lib\classes\product_suggestions_class.dart                                                                | Dart                    |         33 |          0 |          4 |         37 |
| c:\MAIN FLUTTER\stockall\lib\classes\product_summary_class.dart                                                                    | Dart                    |          8 |          0 |          2 |         10 |
| c:\MAIN FLUTTER\stockall\lib\classes\refunded_records.dart                                                                         | Dart                    |         48 |          0 |          4 |         52 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_cart_item.dart                                                                           | Dart                    |         61 |          0 |          8 |         69 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_customers_class.dart                                                                     | Dart                    |         61 |          0 |          4 |         65 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_employee_class.dart                                                                      | Dart                    |          0 |          0 |          2 |          2 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses_class.dart                                                                      | Dart                    |         66 |          0 |          4 |         70 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_main_cart.dart                                                                           | Dart                    |         12 |          0 |          4 |         16 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt.dart                                                                        | Dart                    |         70 |          0 |          4 |         74 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_notification.dart                                                                        | Dart                    |         49 |          0 |          3 |         52 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class.dart                                                                       | Dart                    |        129 |          0 |          5 |        134 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_product_sale_record.dart                                                                 | Dart                    |         95 |          0 |          4 |         99 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_referral_class.dart                                                                      | Dart                    |          0 |         63 |          4 |         67 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_class.dart                                                                          | Dart                    |         90 |          0 |          4 |         94 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_user_class.dart                                                                          | Dart                    |         84 |          0 |         19 |        103 |
| c:\MAIN FLUTTER\stockall\lib\classes\temp_user_class.g.dart                                                                        | Dart                    |         63 |          4 |          8 |         75 |
| c:\MAIN FLUTTER\stockall\lib\classes\user_and_shop_data.dart                                                                       | Dart                    |          7 |          0 |          3 |         10 |
| c:\MAIN FLUTTER\stockall\lib\components\alert_dialogues\confirmation_alert.dart                                                    | Dart                    |        193 |          1 |          6 |        200 |
| c:\MAIN FLUTTER\stockall\lib\components\alert_dialogues\info_alert.dart                                                            | Dart                    |        157 |          0 |          5 |        162 |
| c:\MAIN FLUTTER\stockall\lib\components\bar_chart\daily_bar_chart.dart                                                             | Dart                    |        120 |          2 |         13 |        135 |
| c:\MAIN FLUTTER\stockall\lib\components\bar_chart\horizontal_stroke.dart                                                           | Dart                    |         59 |          0 |          4 |         63 |
| c:\MAIN FLUTTER\stockall\lib\components\bar_chart\vertical_stroke.dart                                                             | Dart                    |         60 |          1 |          3 |         64 |
| c:\MAIN FLUTTER\stockall\lib\components\barcode_scanner.dart                                                                       | Dart                    |        121 |         21 |         13 |        155 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\floating_action_butto.dart                                                         | Dart                    |         84 |          0 |          4 |         88 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\main_button_p.dart                                                                 | Dart                    |         69 |          0 |          5 |         74 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\main_button_transparent.dart                                                       | Dart                    |         59 |          0 |          5 |         64 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\payment_type_button.dart                                                           | Dart                    |        124 |          0 |          3 |        127 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\small_button_main.dart                                                             | Dart                    |         55 |          1 |          5 |         61 |
| c:\MAIN FLUTTER\stockall\lib\components\buttons\toggle_total_price.dart                                                            | Dart                    |        133 |          0 |          4 |        137 |
| c:\MAIN FLUTTER\stockall\lib\components\calendar\calendar_widget.dart                                                              | Dart                    |        398 |          1 |         18 |        417 |
| c:\MAIN FLUTTER\stockall\lib\components\list_tiles\main_receipt_tile.dart                                                          | Dart                    |        343 |          2 |         14 |        359 |
| c:\MAIN FLUTTER\stockall\lib\components\major\empty_widget_display.dart                                                            | Dart                    |        148 |          0 |          5 |        153 |
| c:\MAIN FLUTTER\stockall\lib\components\major\empty_widget_display_only.dart                                                       | Dart                    |        130 |          0 |          5 |        135 |
| c:\MAIN FLUTTER\stockall\lib\components\major\items_summary.dart                                                                   | Dart                    |        342 |          4 |          6 |        352 |
| c:\MAIN FLUTTER\stockall\lib\components\major\my_drawer_widget.dart                                                                | Dart                    |        801 |         43 |         14 |        858 |
| c:\MAIN FLUTTER\stockall\lib\components\major\top_banner.dart                                                                      | Dart                    |        166 |          2 |          3 |        171 |
| c:\MAIN FLUTTER\stockall\lib\components\major\top_banner_two.dart                                                                  | Dart                    |        124 |          1 |          3 |        128 |
| c:\MAIN FLUTTER\stockall\lib\components\major\unsupported_platform.dart                                                            | Dart                    |         89 |          0 |          3 |         92 |
| c:\MAIN FLUTTER\stockall\lib\components\my_calculator.dart                                                                         | Dart                    |        603 |          0 |         18 |        621 |
| c:\MAIN FLUTTER\stockall\lib\components\progress_bar.dart                                                                          | Dart                    |        111 |          0 |          4 |        115 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\barcode_scanner.dart                                                           | Dart                    |         74 |          0 |          4 |         78 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\edit_cart_text_field.dart                                                      | Dart                    |        103 |          0 |          8 |        111 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\general_textfield.dart                                                         | Dart                    |         97 |          0 |          4 |        101 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\general_textfield_only.dart                                                    | Dart                    |         68 |          0 |          4 |         72 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\main_dropdown.dart                                                             | Dart                    |         83 |          0 |          4 |         87 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\main_dropdown_only.dart                                                        | Dart                    |         77 |          0 |          4 |         81 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\money_textfield.dart                                                           | Dart                    |        135 |          2 |         15 |        152 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\number_textfield.dart                                                          | Dart                    |        135 |          2 |         16 |        153 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\phone_number_text_field.dart                                                   | Dart                    |        119 |          0 |          5 |        124 |
| c:\MAIN FLUTTER\stockall\lib\components\text_fields\text_field_barcode.dart                                                        | Dart                    |        151 |          0 |          6 |        157 |
| c:\MAIN FLUTTER\stockall\lib\constants\app_bar.dart                                                                                | Dart                    |         65 |          0 |          2 |         67 |
| c:\MAIN FLUTTER\stockall\lib\constants\bottom_sheet_widgets.dart                                                                   | Dart                    |      2,941 |        285 |         49 |      3,275 |
| c:\MAIN FLUTTER\stockall\lib\constants\calculations.dart                                                                           | Dart                    |        129 |         16 |         22 |        167 |
| c:\MAIN FLUTTER\stockall\lib\constants\constants_main.dart                                                                         | Dart                    |         85 |         18 |         41 |        144 |
| c:\MAIN FLUTTER\stockall\lib\constants\functions.dart                                                                              | Dart                    |      3,458 |         92 |        110 |      3,660 |
| c:\MAIN FLUTTER\stockall\lib\constants\play_sounds.dart                                                                            | Dart                    |          8 |          1 |          3 |         12 |
| c:\MAIN FLUTTER\stockall\lib\constants\scan_barcode.dart                                                                           | Dart                    |         19 |         63 |          7 |         89 |
| c:\MAIN FLUTTER\stockall\lib\helpers\clean_up_url.dart                                                                             | Dart                    |          2 |          1 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\lib\helpers\clean_up_url_stub.dart                                                                        | Dart                    |          6 |          2 |          3 |         11 |
| c:\MAIN FLUTTER\stockall\lib\helpers\clean_up_url_web.dart                                                                         | Dart                    |          8 |          8 |          5 |         21 |
| c:\MAIN FLUTTER\stockall\lib\local_database\local_user\local_user_database.dart                                                    | Dart                    |         77 |         11 |         21 |        109 |
| c:\MAIN FLUTTER\stockall\lib\main.dart                                                                                             | Dart                    |        310 |         99 |         40 |        449 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\auth_landing\auth_landing.dart                                                   | Dart                    |         34 |          0 |          4 |         38 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\auth_landing\platforms\auth_landing_desktop.dart                                 | Dart                    |        195 |          0 |          3 |        198 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\auth_landing\platforms\auth_landing_mobile.dart                                  | Dart                    |        175 |          0 |          4 |        179 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\auth_landing\platforms\auth_landing_tablet.dart                                  | Dart                    |        188 |          0 |          3 |        191 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\auth_screens\auth_screens_page.dart                                              | Dart                    |         15 |          0 |          3 |         18 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\base_page\base_page.dart                                                         | Dart                    |         49 |         55 |         11 |        115 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\components\check_agree.dart                                                      | Dart                    |         71 |          0 |          3 |         74 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\components\email_text_field.dart                                                 | Dart                    |        142 |          0 |          4 |        146 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\forgot_password_page\enter_new_password\enter_new_password.dart                  | Dart                    |         44 |          8 |          7 |         59 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\forgot_password_page\enter_new_password\platforms\enter_new_password_mobile.dart | Dart                    |        327 |         28 |         20 |        375 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\forgot_password_page\forgot_password_page.dart                                   | Dart                    |         38 |          2 |          4 |         44 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\forgot_password_page\platforms\forgot_password_mobile.dart                       | Dart                    |        154 |          2 |          6 |        162 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\launch_screen\launch_screen.dart                                                 | Dart                    |         28 |         15 |          5 |         48 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\login\login_page.dart                                                            | Dart                    |         45 |          5 |          7 |         57 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\login\platforms\login_desktop.dart                                               | Dart                    |        236 |          0 |          9 |        245 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\login\platforms\login_mobile.dart                                                | Dart                    |        360 |          8 |         11 |        379 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\platforms\signup_desktop.dart                                            | Dart                    |        290 |          0 |          8 |        298 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\platforms\signup_mobile.dart                                             | Dart                    |        457 |         13 |         10 |        480 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\platforms\signup_two_desktop.dart                                        | Dart                    |        399 |          0 |          5 |        404 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\platforms\signup_two_mobile.dart                                         | Dart                    |        313 |         24 |          5 |        342 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\sign_up_page.dart                                                        | Dart                    |         94 |          0 |          7 |        101 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\sign_up\signup_two.dart                                                          | Dart                    |         48 |          0 |          6 |         54 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\platforms\components\indicator.dart                               | Dart                    |         29 |          0 |          3 |         32 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\platforms\components\mobile_splash_widget.dart                    | Dart                    |         79 |          0 |          5 |         84 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\platforms\splash_desktop.dart                                     | Dart                    |        241 |          2 |          8 |        251 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\platforms\splash_mobile.dart                                      | Dart                    |        187 |          1 |          4 |        192 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\platforms\splash_widget.dart                                      | Dart                    |          0 |          0 |          1 |          1 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\splash_screens\splash_screen.dart                                                | Dart                    |         69 |          6 |          6 |         81 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\enter_code.dart                                                     | Dart                    |         33 |          0 |          3 |         36 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\platforms\enter_code_desktop.dart                                   | Dart                    |        298 |          6 |          4 |        308 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\platforms\enter_code_mobile.dart                                    | Dart                    |        221 |          3 |          4 |        228 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\platforms\verify_phone_desktop.dart                                 | Dart                    |        214 |          0 |          4 |        218 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\platforms\verify_phone_mobile.dart                                  | Dart                    |        232 |          7 |         11 |        250 |
| c:\MAIN FLUTTER\stockall\lib\pages\authentication\verify_phone\verify_phone.dart                                                   | Dart                    |         87 |          0 |          4 |         91 |
| c:\MAIN FLUTTER\stockall\lib\pages\calendar_practice.dart                                                                          | Dart                    |          0 |          0 |          2 |          2 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\add_customer\add_customer.dart                                                        | Dart                    |         53 |          0 |          6 |         59 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\add_customer\platforms\add_customer_mobile.dart                                       | Dart                    |      1,995 |         11 |         37 |      2,043 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\components\customer_main_tile.dart                                                    | Dart                    |        116 |         10 |          4 |        130 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\customer_page\customer_page.dart                                                      | Dart                    |         21 |          0 |          3 |         24 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\customer_page\platform\customer_page_mobile.dart                                      | Dart                    |        604 |          0 |         21 |        625 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\customers_list\customer_list.dart                                                     | Dart                    |         67 |          1 |          8 |         76 |
| c:\MAIN FLUTTER\stockall\lib\pages\customers\customers_list\platforms\customer_list_mobile.dart                                    | Dart                    |        349 |          0 |         10 |        359 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\button_tab.dart                                                            | Dart                    |         71 |          0 |          5 |         76 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\main_bottom_nav.dart                                                       | Dart                    |        282 |          0 |          3 |        285 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\main_info_tab.dart                                                         | Dart                    |        113 |         26 |          6 |        145 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\nav_button.dart                                                            | Dart                    |         87 |          0 |          4 |         91 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\top_nav_bar.dart                                                           | Dart                    |        294 |          0 |          7 |        301 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\components\total_sales_banner.dart                                                    | Dart                    |        363 |         12 |         20 |        395 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\dashboard.dart                                                                        | Dart                    |         98 |          5 |         17 |        120 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\employee_auth_page\emp_auth.dart                                                      | Dart                    |      1,019 |         42 |         16 |      1,077 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\platforms\dashboard_desktop.dart                                                      | Dart                    |          9 |        143 |          4 |        156 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\platforms\dashboard_mobile.dart                                                       | Dart                    |      1,357 |         13 |         32 |      1,402 |
| c:\MAIN FLUTTER\stockall\lib\pages\dashboard\platforms\dashboard_tablet.dart                                                       | Dart                    |         14 |        156 |          6 |        176 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\add_employee_page\add_employee_page.dart                                              | Dart                    |         41 |          0 |          6 |         47 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\add_employee_page\platforms\add_employee_mobile.dart                                  | Dart                    |        675 |         10 |         25 |        710 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\components\employee_tile_main.dart                                                    | Dart                    |        156 |          0 |          5 |        161 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\employee_list\employee_list_page.dart                                                 | Dart                    |         51 |          2 |          6 |         59 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\employee_list\platforms\employee_list_mobile.dart                                     | Dart                    |        201 |          0 |         10 |        211 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\employee_page\employee_page.dart                                                      | Dart                    |         21 |          0 |          3 |         24 |
| c:\MAIN FLUTTER\stockall\lib\pages\employees\employee_page\platforms\employee_page_mobile.dart                                     | Dart                    |        709 |          0 |         31 |        740 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\add_expenses\add_expenses.dart                                                         | Dart                    |         45 |          0 |          4 |         49 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\add_expenses\platforms\add_expenses_mobile.dart                                        | Dart                    |        353 |         13 |         17 |        383 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\components\expenses_tile.dart                                                          | Dart                    |        204 |          0 |          8 |        212 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\expenses_page.dart                                                                     | Dart                    |         57 |          1 |          7 |         65 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\platforms\expenses_moblie.dart                                                         | Dart                    |        499 |         10 |         10 |        519 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\single_expense\expense_details.dart                                                    | Dart                    |         24 |          0 |          3 |         27 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\single_expense\platform\expense_details_mobile.dart                                    | Dart                    |        539 |         38 |         26 |        603 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\total_expenses\platforms\total_expenses_mobile.dart                                    | Dart                    |        536 |         42 |         15 |        593 |
| c:\MAIN FLUTTER\stockall\lib\pages\expenses\total_expenses\total_expenses.dart                                                     | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\home\home.dart                                                                                  | Dart                    |        145 |          5 |         12 |        162 |
| c:\MAIN FLUTTER\stockall\lib\pages\notifications\notifications_page.dart                                                           | Dart                    |         58 |          1 |          7 |         66 |
| c:\MAIN FLUTTER\stockall\lib\pages\notifications\platforms\notifications_mobile.dart                                               | Dart                    |        475 |          0 |          8 |        483 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_product_one\add_product.dart                                                       | Dart                    |         58 |          0 |          7 |         65 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_product_one\platforms\add_product_mobile.dart                                      | Dart                    |      1,269 |        364 |         43 |      1,676 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_products_three\add_products_three.dart                                             | Dart                    |          0 |         28 |          4 |         32 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_products_three\platforms\add_products_three_mobile.dart                            | Dart                    |          0 |        377 |         10 |        387 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_products_two\add_product_two.dart                                                  | Dart                    |          0 |         37 |          4 |         41 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\add_products_two\platforms\add_products_two_mobile.dart                                | Dart                    |          0 |        262 |          8 |        270 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\cart_item_main.dart                                                          | Dart                    |        309 |          1 |          7 |        317 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\edit_product_tile.dart                                                       | Dart                    |         48 |          0 |          4 |         52 |
